BioSample	Experiment	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	source_name	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	cell_type	develpmental_stage
SAMN07278089	SRX2956714	2017-06-26	255	105	SRR5756600	SRS2313917	GSM2684180	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278088	SRX2956715	2017-06-26	135	56	SRR5756601	SRS2313918	GSM2684181	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278087	SRX2956716	2017-06-26	73	30	SRR5756602	SRS2313919	GSM2684182	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278086	SRX2956717	2017-06-26	103	42	SRR5756603	SRS2313920	GSM2684183	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278085	SRX2956718	2017-06-26	99	40	SRR5756604	SRS2313922	GSM2684184	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278084	SRX2956719	2017-06-26	25	10	SRR5756605	SRS2313921	GSM2684185	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278083	SRX2956720	2017-06-26	140	58	SRR5756606	SRS2313923	GSM2684186	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278082	SRX2956721	2017-06-26	137	56	SRR5756607	SRS2313924	GSM2684187	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278081	SRX2956722	2017-06-26	127	52	SRR5756608	SRS2313925	GSM2684188	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278080	SRX2956723	2017-06-26	621	257	SRR5756609	SRS2313926	GSM2684189	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278079	SRX2956724	2017-06-26	495	204	SRR5756610	SRS2313928	GSM2684190	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278078	SRX2956725	2017-06-26	732	299	SRR5756611	SRS2313927	GSM2684191	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278077	SRX2956726	2017-06-26	494	204	SRR5756612	SRS2313929	GSM2684192	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278076	SRX2956727	2017-06-26	50	21	SRR5756613	SRS2313931	GSM2684193	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278075	SRX2956728	2017-06-26	211	90	SRR5756614	SRS2313930	GSM2684194	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278074	SRX2956729	2017-06-26	72	30	SRR5756615	SRS2313932	GSM2684195	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278073	SRX2956730	2017-06-26	111	47	SRR5756616	SRS2313933	GSM2684196	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278072	SRX2956731	2017-06-26	210	91	SRR5756617	SRS2313934	GSM2684197	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278071	SRX2956732	2017-06-26	100	42	SRR5756618	SRS2313935	GSM2684198	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278070	SRX2956733	2017-06-26	136	58	SRR5756619	SRS2313936	GSM2684199	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278069	SRX2956734	2017-06-26	118	51	SRR5756620	SRS2313937	GSM2684200	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278068	SRX2956735	2017-06-26	212	91	SRR5756621	SRS2313938	GSM2684201	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278067	SRX2956736	2017-06-26	123	52	SRR5756622	SRS2313939	GSM2684202	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278066	SRX2956737	2017-06-26	85	36	SRR5756623	SRS2313940	GSM2684203	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278065	SRX2956738	2017-06-26	235	100	SRR5756624	SRS2313941	GSM2684204	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278064	SRX2956739	2017-06-26	89	38	SRR5756625	SRS2313942	GSM2684205	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278008	SRX2956740	2017-06-26	159	69	SRR5756626	SRS2313943	GSM2684206	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278007	SRX2956741	2017-06-26	82	35	SRR5756627	SRS2313944	GSM2684207	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278006	SRX2956742	2017-06-26	100	42	SRR5756628	SRS2313945	GSM2684208	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278005	SRX2956743	2017-06-26	131	55	SRR5756629	SRS2313946	GSM2684209	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278118	SRX2956744	2017-06-26	147	63	SRR5756630	SRS2313947	GSM2684210	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278117	SRX2956745	2017-06-26	84	36	SRR5756631	SRS2313948	GSM2684211	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278116	SRX2956746	2017-06-26	154	65	SRR5756632	SRS2313949	GSM2684212	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278115	SRX2956747	2017-06-26	130	55	SRR5756633	SRS2313950	GSM2684213	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278114	SRX2956748	2017-06-27	174	75	SRR5756634	SRS2313951	GSM2684214	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278113	SRX2956749	2017-06-26	116	50	SRR5756635	SRS2313953	GSM2684215	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278112	SRX2956750	2017-06-27	132	56	SRR5756636	SRS2313952	GSM2684216	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278111	SRX2956751	2017-06-26	195	89	SRR5756637	SRS2313954	GSM2684217	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278110	SRX2956752	2017-06-27	207	89	SRR5756638	SRS2313955	GSM2684218	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278109	SRX2956753	2017-06-27	239	103	SRR5756639	SRS2313956	GSM2684219	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278108	SRX2956754	2017-06-27	150	64	SRR5756640	SRS2313957	GSM2684220	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278107	SRX2956755	2017-06-27	129	55	SRR5756641	SRS2313959	GSM2684221	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278106	SRX2956756	2017-06-27	164	70	SRR5756642	SRS2313958	GSM2684222	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278105	SRX2956757	2017-06-27	106	45	SRR5756643	SRS2313960	GSM2684223	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278104	SRX2956758	2017-06-27	117	50	SRR5756644	SRS2313961	GSM2684224	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278103	SRX2956759	2017-06-27	82	35	SRR5756645	SRS2313963	GSM2684225	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278102	SRX2956760	2017-06-27	186	80	SRR5756646	SRS2313962	GSM2684226	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278101	SRX2956761	2017-06-27	100	43	SRR5756647	SRS2313966	GSM2684227	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278100	SRX2956762	2017-06-27	92	39	SRR5756648	SRS2313964	GSM2684228	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278099	SRX2956763	2017-06-27	267	115	SRR5756649	SRS2313965	GSM2684229	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278098	SRX2956764	2017-06-27	112	48	SRR5756650	SRS2313967	GSM2684230	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278301	SRX2956765	2017-06-27	125	54	SRR5756651	SRS2313968	GSM2684231	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278300	SRX2956766	2017-06-27	112	48	SRR5756652	SRS2313969	GSM2684232	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278299	SRX2956767	2017-06-27	121	52	SRR5756653	SRS2313970	GSM2684233	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278298	SRX2956768	2017-06-27	69	29	SRR5756654	SRS2313971	GSM2684234	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278140	SRX2956769	2017-06-27	272	118	SRR5756655	SRS2313972	GSM2684235	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278202	SRX2956770	2017-06-27	407	175	SRR5756656	SRS2313973	GSM2684236	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278200	SRX2956771	2017-06-27	121	51	SRR5756657	SRS2313974	GSM2684237	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278198	SRX2956772	2017-06-27	305	132	SRR5756658	SRS2313975	GSM2684238	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278196	SRX2956773	2017-06-27	102	43	SRR5756659	SRS2313976	GSM2684239	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278194	SRX2956774	2017-06-27	143	61	SRR5756660	SRS2313977	GSM2684240	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278192	SRX2956775	2017-06-27	114	48	SRR5756661	SRS2313978	GSM2684241	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278190	SRX2956776	2017-06-27	126	54	SRR5756662	SRS2313979	GSM2684242	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278188	SRX2956777	2017-06-27	165	71	SRR5756663	SRS2313980	GSM2684243	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278185	SRX2956778	2017-06-27	91	39	SRR5756664	SRS2313981	GSM2684244	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278184	SRX2956779	2017-06-27	113	48	SRR5756665	SRS2313982	GSM2684245	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278183	SRX2956780	2017-06-27	180	77	SRR5756666	SRS2313983	GSM2684246	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278182	SRX2956781	2017-06-27	262	113	SRR5756667	SRS2313984	GSM2684247	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278181	SRX2956782	2017-06-27	154	66	SRR5756668	SRS2313985	GSM2684248	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278180	SRX2956783	2017-06-27	208	90	SRR5756669	SRS2313986	GSM2684249	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278179	SRX2956784	2017-06-27	177	76	SRR5756670	SRS2313987	GSM2684250	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278178	SRX2956785	2017-06-27	104	44	SRR5756671	SRS2313988	GSM2684251	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278177	SRX2956786	2017-06-27	109	47	SRR5756672	SRS2313989	GSM2684252	E7.25	E7.25_Mesp1-GFP+_WT	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
